"1 Credit Jukebox","$33.78"
"Multi-Credit Jukebox","$386.37"
"Mobile","$3,516.95"
"Karaoke","$0.00"
"Photobooth","$0.00"
"Unused credits","$0.00"
"Cleared credits","$26.85"
"Total Revenue Breakdown","$3,963.95"
"Bill","$447.00"
"Coin","$0.00"
"Subtotal (Bill + Coin)","$447.00"
"Linked","$0.00"
"CC/3rd Party","$0.00"
"Mobile","$3,516.95"
"Total Revenue","$3,963.95"
"1 Credit Jukebox (music)","-$1,207.25"
"Multi-Credit Jukebox (music)","-$131.37"
"Mobile","-$130.13"
"Karaoke service","$0.00"
"Karaoke BGM","$0.00"
"Karaoke plays","$0.00"
"Photobooth print","$0.00"
"Other fees","$0.00"
"Total Revenues","$3,963.95"
"Total fees","-$1,468.75"
"Total to split","$2,495.20"
"Location split","$1,247.60"
"Operator split","$1,247.60"