Location name,Location ID,Jukebox model,Jukebox ID,Computer,Software,Version
American Legion (Scottsburg),L140059,Ovation II,000000CAD5EC,MHP,OS2_US_BASE,2.28.1-12
American Legion Post 28,L191561,Digital Conversion Kit,000000B2EC1F,JCB 1.2Ghz,GEN3,4.7.33-2
American Legion Post 42,L226972,Allegro,00000042E849,JCB+,GEN3,4.7.35-2
Amvets Post 9,L316177,Angelina,0000000A94D3,MHP,OS2_US_BASE,2.28.1-12
BACKROOM RAILYARD BILLIARDS,L300266,Angelina,0000000A7F11,MHP,OS2_US_BASE,2.28.2-9
Cluckers Jeffersonville,L29715,Angelina,0000000A8A0B,MHP,OS2_US_BASE,2.28.2-9
Cluckers Versailles,L320511,Angelina,0000000A8C27,MHP,OS2_US_BASE,2.28.1-12
Crothersville VFW,L186658,CD Conversion Kit,0000004171AD,JCB+,GEN3,4.7.35-2
El Maguey,L282034,Angelina,0000000A587A,MHP,OS2_US_BASE,2.28.1-12
El Maguey Salem,L324820,Angelina,0000000AA359,MHP,OS2_US_BASE,2.28.1-12
FOEagles,L94516,Virtuo,000000BF2CB7,i3,OS2_US_BASE,2.28.2-9
GOLDEN NUGGET,L238364,Fusion,0000000A5B40,MHP,OS2_US_BASE,2.28.2-9
Harry's backroom,L290950,Angelina,0000000A7276,MHP,OS2_US_BASE,2.28.2-9
HOBART BEACH VFW,L177134,Ovation,0000003D2C72,JCB+,GEN3,4.7.35-2
Hoopsters Sports Bar jeff,L157125,Angelina,0000000A94E3,MHP,OS2_US_BASE,2.28.1-12
Krazy Dave's,L238362,Virtuo,000000E36408,i3,OS2_US_BASE,2.28.1-11
Mac's Hideaway,L19008,Virtuo 2,0000000A304F,i3,OS2_US_BASE,2.28.1-12
Mick's Lounge,L115484,Angelina,0000000A6787,MHP,OS2_US_BASE,2.28.1-12
Our Lady of Perpetual Hops,L299993,Angelina,0000000A79CC,MHP,OS2_US_BASE,2.28.1-12
Pearl Street Taphouse,L252131,Fusion,0000000A551C,MHP,OS2_US_BASE,2.28.1-12
Pizza Place,L146878,CD Conversion Kit,00000042C2BE,JCB 1.2Ghz,GEN3,4.7.33-2
POOLROOM RAILYARD BILLARDS,L292988,Angelina,0000000A7865,MHP,OS2_US_BASE,2.28.1-12
Post 204 Am.Legion Sellersburg,L267083,Virtuo,000000BF0ABA,i3,OS2_US_BASE,2.28.1-12
Pride Bar,L286705,Playdium,0000005F3F8C,i3,OS2_US_BASE,2.28.2-9
Resch's Tavern,L37224,Ovation,00000043455C,MHP,OS2_US_BASE,2.28.1-12
RubbinÂ¿ Butts BBQ,L316580,Ovation,0000003C2954,MHP,OS2_US_BASE,2.28.1-12
THE DERBY HOTEL,L271746,Virtuo,000000BF26D0,i3,OS2_US_BASE,2.28.1-12
The Dock Restaurant and Bar,L311260,Angelina,0000000A913D,MHP,OS2_US_BASE,2.28.1-12
Thirsty's,L184415,Angelina,0000000A77B7,MHP,OS2_US_BASE,2.28.0-15
VFW - Austin,L153837,Angelina,0000000A60C8,MHP,OS2_US_BASE,2.28.2-9
VFW 1427 Charlestown,L304478,Angelina,0000000A7EE5,MHP,OS2_US_BASE,2.28.2-9
VFW 1832,L42773,Ovation JCB Upgrade,000000481201,MHP,OS2_US_BASE,2.28.2-9
VFW 3281,L225376,Allegro,000000433419,JCB+,GEN3,4.7.35-2
Vic's Cafe,L175027,Angelina,0000000A79CD,MHP,OS2_US_BASE,2.28.1-12
WAREHOUSE,L255670,Allegro,000000422B5B,JCB+,GEN3,4.7.18-2
WAREHOUSE,L255670,CD Conversion Kit,000000487832,JCB+,GEN3,4.7.33-2
WAREHOUSE,L255670,Virtuo,000000FCC271,Core 2 Duo,OS2_US_BASE,2.27.3-9
WAREHOUSE,L255670,Angelina,0000000A91CF,MHP,OS2_US_BASE,2.28.1-11
WAREHOUSE,L255670,Virtuo,0000001F9AEC,Core 2 Duo,OS2_US_BASE,2.27.2-14
WAREHOUSE,L255670,Angelina,0000000A6F21,MHP,OS2_US_BASE,2.28.1-11
WAREHOUSE,L255670,Maestro,000000352A12,JCB 1.2Ghz,GEN3,4.7.33-2
WAREHOUSE,L255670,Gen1 / Gen2 Gen3 Upgrade,0000002AA1AE,JCB 1.2Ghz,GEN3,4.7.31-2